dataset,fraction,method,result,runtime,abs_error,rel_error
taxi,0.01,Exact,47.5935,0.0711,0.0,0.0
taxi,0.01,Random,47.4357,0.0325,0.5024,0.0106
taxi,0.01,Stratified,47.7925,0.08,0.994,0.0209
taxi,0.05,Exact,47.5935,0.0711,0.0,0.0
taxi,0.05,Random,47.5424,0.0435,0.1193,0.0025
taxi,0.05,Stratified,47.5488,0.0818,0.4227,0.0089
taxi,0.1,Exact,47.5935,0.0711,0.0,0.0
taxi,0.1,Random,47.5417,0.0451,0.1323,0.0028
taxi,0.1,Stratified,47.6161,0.097,0.0991,0.0021
taxi,0.25,Exact,47.5935,0.0711,0.0,0.0
taxi,0.25,Random,47.5581,0.0429,0.0554,0.0012
taxi,0.25,Stratified,47.5446,0.0939,0.057,0.0012
retail,0.01,Exact,36.6854,0.045,0.0,0.0
retail,0.01,Random,34.8089,0.0164,1.8765,0.0512
retail,0.01,Stratified,38.6427,0.0904,5.7017,0.1554
retail,0.05,Exact,36.6854,0.045,0.0,0.0
retail,0.05,Random,34.5422,0.02,2.1433,0.0584
retail,0.05,Stratified,37.1194,0.0927,1.7649,0.0481
retail,0.1,Exact,36.6854,0.045,0.0,0.0
retail,0.1,Random,34.972,0.021,1.7134,0.0467
retail,0.1,Stratified,36.2864,0.1073,0.8193,0.0223
retail,0.25,Exact,36.6854,0.045,0.0,0.0
retail,0.25,Random,35.2203,0.0311,1.4651,0.0399
retail,0.25,Stratified,36.5429,0.1051,0.52,0.0142
tpch,0.01,Exact,36049.2385,0.0536,0.0,0.0
tpch,0.01,Random,36378.0843,0.019,529.1546,0.0147
tpch,0.01,Stratified,36121.1395,0.0908,285.3091,0.0079
tpch,0.05,Exact,36049.2385,0.0536,0.0,0.0
tpch,0.05,Random,36028.9968,0.0208,112.9433,0.0031
tpch,0.05,Stratified,36015.1922,0.0961,113.4168,0.0031
tpch,0.1,Exact,36049.2385,0.0536,0.0,0.0
tpch,0.1,Random,36095.5302,0.0224,51.6368,0.0014
tpch,0.1,Stratified,36014.1166,0.0952,67.2697,0.0019
tpch,0.25,Exact,36049.2385,0.0536,0.0,0.0
tpch,0.25,Random,36056.3241,0.0362,55.886,0.0016
tpch,0.25,Stratified,36033.6713,0.1156,37.2697,0.001
